Date,Open,High,Low,Close,Adj Close,Volume
2011-06-27,81.510002,85.790001,81.110560,81.110560,63.596390,31052600
2011-07-04,85.410004,86.290001,80.006906,80.006906,63.559261,22175700
2011-07-11,85.320000,86.459999,80.809998,82.544206,63.470177,29988100
2011-07-18,85.480003,87.570000,82.150002,83.759998,65.757103,31710200
2011-07-25,83.959999,84.000000,79.820000,80.480003,64.212662,27314500
2011-08-01,87.489998,87.489998,81.750000,81.880002,63.173153,40851600
2011-08-08,83.629997,86.970001,82.010002,82.230003,64.227524,61000400
2011-08-15,86.820000,88.430000,79.680000,80.230003,64.769554,40565200
2011-08-22,85.209999,86.489998,81.330002,82.930000,66.774330,36509900
2011-08-29,84.599998,85.220001,80.010002,83.089996,66.150650,32468100
2011-09-05,87.419998,90.000000,83.650002,84.029999,63.563087,40038500
2011-09-12,84.440002,88.760002,80.160004,81.290001,66.000046,36885900
2011-09-19,87.610001,90.559998,84.099998,84.370003,65.312347,38591800
2011-09-26,84.959999,89.000000,82.730003,83.779999,66.366341,30732400
